"term","HR_CI","p_value","significant","estimate","std.error","statistic","p.value","conf.low","conf.high"
"group2Early_combination","1.12 (0.62-2.03)","0.713","",1.11790143624411,0.303458061448239,0.367277143771258,0.713412301216752,0.616736346773283,2.0263174494174
"group2Late_combination","2.64 (1.46-4.77)","0.001","*",2.63863430226415,0.302198531156963,3.21067567682845,0.00132423297783221,1.45930929229574,4.77101805480318
"chronic_renal_disease","1.81 (1.08-3.05)","0.024","*",1.81410178333804,0.264714933552444,2.24993147162027,0.0244532957793015,1.07978151967567,3.04780663527078
"apsiii","1.01 (1.00-1.02)","0.069","",1.01130721699213,0.00617320706826105,1.82138200250698,0.0685488090262762,0.999144870560729,1.02361761269553
"vaso_timing_relative_to_crystalvaso_after_24h_after_crystal","2.57 (1.13-5.86)","0.024","*",2.57386122676722,0.419380040556468,2.25429706433158,0.0241774858989016,1.1313791994171,5.85547411342618
"vaso_timing_relative_to_crystalvaso_within_24h_after_crystal","0.91 (0.45-1.82)","0.788","",0.909277855131964,0.35407744821014,-0.268598186021326,0.788238908359065,0.454260886311567,1.82006913372311
"admission_age","1.00 (0.98-1.02)","0.958","",0.999428959701897,0.0108066042862928,-0.0528568816417442,0.957845939805595,0.978483104920607,1.02082319098587
"genderM","1.12 (0.68-1.85)","0.654","",1.12158046499067,0.255841551196479,0.448476095922877,0.653809634013119,0.67929389770322,1.85183871620509
"lactate","0.99 (0.93-1.04)","0.646","",0.987144781216747,0.0281657912361556,-0.459371513300116,0.645967401236168,0.934127352287855,1.04317127284287
"WBC","1.02 (0.98-1.05)","0.326","",1.01552145405987,0.0156834088606211,0.982071471172376,0.326064639070626,0.984780319956405,1.04722221063631
"crystal_timing_hours","1.00 (1.00-1.00)","0.744","",0.999629845565652,0.00113154692069013,-0.327183037345625,0.743529449726186,0.997415331851752,1.00184927605878
"chronic_pulmonary_disease","0.63 (0.36-1.10)","0.107","",0.6339721654315,0.282556694791887,-1.61295144306967,0.106755057518574,0.364382487211075,1.10301872523606
"congestive_heart_failure","1.08 (0.62-1.87)","0.785","",1.07948427017298,0.279774756744541,0.273374911860714,0.784565035970392,0.623837695670918,1.86793183168846
